Country,Year,Cases,Deaths,Health
South Africa,2000,142,1.01,102
South Africa,2001,57.6,0.259,90.5
South Africa,2002,33.6,0.206,81.5
South Africa,2003,28.6,0.302,126
South Africa,2004,28.2,0.187,151
South Africa,2005,16.2,0.134,175
South Africa,2006,25.1,0.18,184
Vietnam,1995,137,0.475,4.92
Vietnam,1996,114,0.272,5.36
Vietnam,1997,87,0.201,5.66
Vietnam,1998,93.8,0.238,6.12
Vietnam,1999,96.3,0.244,6.32
Vietnam,2000,94,0.187,6.47
Vietnam,2001,234,0.113,7.21
Vietnam,2002,227,0.0614,6.83
Vietnam,2003,199,0.0605,8.15
Vietnam,2004,153,0.0286,8.37
Vietnam,2005,117,0.0212,9.84
Vietnam,2006,106,0.0476,15.3
